id,brand,gear,model,price,fuel,mileage,hp,type,geo,model_year
99950,Volvo,Manuell,V70,65900,Bensin,16 114,145,Kombi,Kristianstad,2009
99951,Peugeot,Manuell,307,7900,Bensin,26 500 - 26 999,108,Kombi,Gnesta,2003
99952,Hyundai,Manuell,I20,129800,Bensin,0,74,Halvkombi,,2019
99953,Citroën,Manuell,Berling,79000,Diesel,8 400,89,Yrkesfordon,,2014
99954,BMW,Manuell,330,35000,Bensin,19 500 - 19 999,231,Kombi,Umeå,2001
99955,BMW,Automat,330,299000,Diesel,3 559,258,Kombi,,2015
99956,Mercedes-Benz,Automat,C220,345000,Diesel,2 384,170,Kombi,,2018
99957,BMW,Automat,335,219000,Bensin,8 900,306,Cab,,2007
99958,Skoda,Automat,Yeti,89000,Diesel,18 453,140,SUV,,2012
99959,BMW,Automat,X2,439900,Diesel,0,190,SUV,,2019
99960,Volkswagen,Automat,PASSAT,115000,Diesel,17 000 - 17 499,176,-,Västerås,2013
99961,Opel,Manuell,Corsa,131400,Bensin,3,89,Halvkombi,Mora,2019
99962,Alfa Romeo,Automat,STELVIO,579900,Bensin,0,280,SUV,,2019
99963,Mitsubishi,Automat,GRANDIS,69900,Bensin,11 900,164,Familjebuss,,2010
99964,Mazda,Manuell,5,249900,Bensin,580,160,Cab,,2018
99965,BMW,Automat,320,309000,Diesel,2 150,190,Kombi,,2017
99966,Ford,Manuell,C-MAX,22500,Bensin,20 324,125,Kombi,Eskilstuna,2006
99967,Subaru,Manuell,FORESTER,79900,Diesel,16 000,146,SUV,,2008
99968,Mitsubishi,Automat,GRANDIS,49950,Bensin,19 500 - 19 999,164,Familjebuss,Älvsjö-Farsta-Vantör,2008
99969,Mercedes-Benz,Automat,A180,345200,Diesel,0,115,Halvkombi,Alingsås,2019
99970,BMW,Automat,X3,309000,Diesel,12 060,258,SUV,,2015
99971,BMW,Automat,530,519000,Miljöbränsle/Hybrid,386,183,Sedan,,2018
99972,Skoda,Manuell,Octavia,139900,Diesel,7 770,110,Kombi,,2016
99973,Kia,Automat,OPTIMA,345800,Bensin,0,179,Kombi,,2019
99974,BMW,Automat,530,459000,Miljöbränsle/Hybrid,1,183,Sedan,,2018
99975,Citroën,Automat,Berling,122700,Diesel,5 422,99,Yrkesfordon,,2015
99976,Subaru,Automat,LEGACY,209000,Bensin,2 412,172,Kombi,,2014
99977,BMW,Automat,320,319000,Diesel,1 595,190,Kombi,,2017
99978,BMW,Automat,M2 COMPETITION,748200,Bensin,0,410,Coupé,,2019
99979,Peugeot,Manuell,RIFTER,235700,Bensin,0,110,Familjebuss,,2019
99980,Peugeot,Automat,508,95000,Diesel,18 000 - 18 499,204,Kombi,Kävlinge,2012
99981,Mazda,Manuell,2,169500,Diesel,6 340,149,Kombi,Skellefteå,2014
99982,BMW,Automat,330,459000,Bensin,1,251,Sedan,,2019
99983,BMW,Automat,120,371800,Diesel,0,190,Halvkombi,,2019
99984,BMW,Automat,320,325000,Diesel,1 550,190,Halvkombi,,2018
99985,BMW,Automat,X1,259000,Diesel,7 470,190,SUV,,2016
99986,Volvo,Automat,V70,26900,Bensin,23 000,199,Kombi,,2001
99987,Skoda,Automat,Superb,29900,Bensin,17 000,193,Sedan,Eslöv,2002
99988,Volvo,Automat,C70,74900,Diesel,27 600,184,Kombi,Sala,2008
99989,Ford,Automat,MONDEO,284900,Diesel,1 032,149,Kombi,,2017
99990,Mazda,Manuell,3,114500,Diesel,4 300,115,Halvkombi,Skellefteå,2012
99991,Hyundai,Automat,I30,189900,Bensin,0,140,Kombi,,2018
99992,BMW,Automat,M2 COMPETITION,740400,Bensin,0,410,Coupé,,2019
99993,Hyundai,Manuell,I20,143300,Bensin,0,74,Halvkombi,,2018
99994,Chevrolet,Automat,CAMARO,299900,Bensin,13 962,405,Cab,Enskede-Årsta-Skarpnäck,2012
99995,BMW,Automat,120,363000,Diesel,0,190,Halvkombi,,2019
99996,Ford,Manuell,MONDEO,198000,Diesel,4 000,179,Halvkombi,,2015
99997,Mini,Automat,COOPER,189500,Bensin,1 511,136,Coupé,,2018
99998,Ford,Manuell,FIESTA,195000,Bensin,0,100,Halvkombi,,2018
99999,Renault,Manuell,MEGANE,69000,Miljöbränsle/Hybrid,12 320,110,Halvkombi,Gotland,2011
100000,Audi,Automat,A6,229900,Diesel,6 800,217,Kombi,,2015
100001,Mercedes-Benz,Automat,E220,295000,Diesel,7 400,170,Sedan,,2015
100002,Hyundai,Manuell,IX35,169500,Diesel,4 300,136,SUV,Skellefteå,2015
100003,Mazda,Manuell,3,89500,Diesel,10 500,115,Halvkombi,,2012
