id,brand,gear,model,price,fuel,mileage,hp,type,geo,model_year
100147,Volvo,Manuell,S80,18500,Bensin,18 500 - 18 999,140,Sedan,Falkenberg,2003
100148,Nissan,Manuell,NV200,59000,Diesel,10 600,89,Yrkesfordon,,2013
100149,Jeep,Automat,CHEROKEE,499900,Diesel,399,250,SUV,,2017
100150,Renault,Manuell,LAGUNA,25000,Bensin,21 500 - 21 999,163,Halvkombi,Boden,2003
100151,Volkswagen,Manuell,TRANSPORTER,82000,Diesel,17 000 - 17 499,102,Yrkesfordon,Sölvesborg,2011
100152,BMW,Manuell,328,178000,Bensin,10 142,244,Halvkombi,,2013
100153,Ford,Manuell,FIESTA,189000,Bensin,1,100,Halvkombi,Haninge,2018
100154,Suzuki,Manuell,SX4,224900,Bensin,0,140,Halvkombi,,2018
100155,Ford,Manuell,FIESTA,189000,Bensin,1,100,Halvkombi,Haninge,2018
100157,Peugeot,Manuell,PARTNER,43500,Diesel,18 353,108,-,,2009
100158,Ford,Manuell,MONDEO,11500,Bensin,26 500 - 26 999,170,Kombi,Heby,2004
100159,Audi,Manuell,A3,36500,Bensin,19 050,149,Halvkombi,,2004
100160,Volkswagen,Manuell,GOL,12000,Bensin,16 500 - 16 999,100,Småbil,Kristianstad,2000
100161,Ford,Automat,MUSTANG,175000,Bensin,6 000 - 6 499,209,Cab,Malung-Sälen,2011
100162,Citroën,Automat,C4,57500,Diesel,15 200,136,Familjebuss,,2010
100163,Volkswagen,Manuell,POLO,14500,Bensin,21 000 - 21 499,54,Småbil,Norrköping,2002
100164,Volvo,Automat,C70,24900,Bensin,35 000 - 39 999,209,Kombi,Kungälv,2004
100165,Mercedes-Benz,Automat,E200,159000,Diesel,16 500 - 16 999,136,Kombi,Strömsund,2013
100166,Skoda,Automat,Octavia,75000,Bensin,10 500 - 10 999,102,Kombi,Luleå,2010
100167,Volvo,Automat,V90,354900,Diesel,0,190,Kombi,,2019
100168,Volvo,Manuell,V60,196900,Diesel,4 749,149,Kombi,Örebro,2017
100169,Renault,Manuell,MASTER,277900,Diesel,1 004,145,Yrkesfordon,,2018
100170,Audi,Automat,A4,299900,Diesel,3 092,190,Kombi,Nässjö,2018
100171,Toyota,Manuell,YARIS,47800,Bensin,13 300,100,Sedan,Tidaholm,2010
100172,Citroën,Manuell,Jump,99000,Diesel,14 500,130,Yrkesfordon,,2014
100173,Nissan,Automat,NAVARA,199900,Diesel,11 190,231,Yrkesfordon,,2014
100174,Renault,Manuell,TRAFIC,223750,Diesel,1 600,121,Yrkesfordon,Ljungby,2017
100175,Volvo,Automat,V40,219000,Diesel,4 230,149,Halvkombi,,2018
100176,Volvo,Automat,V60,239000,Diesel,5 906,190,Kombi,,2017
100177,Volvo,Manuell,V40,194000,Diesel,5 407,149,Halvkombi,,2017
100178,Volvo,Automat,V40,219000,Diesel,4 587,149,Halvkombi,,2018
100179,Kia,Automat,NIRO,254700,Miljöbränsle/Hybrid,1,104,SUV,,2019
100180,Kia,Manuell,CEED,218694,Bensin,1,119,Kombi,,2019
100181,Mazda,Manuell,2,189800,Diesel,8 870,175,SUV,,2015
100182,Volvo,Automat,V40,219000,Diesel,5 360,149,Halvkombi,,2018
100183,Volvo,Automat,V40,219000,Diesel,5 232,149,Halvkombi,,2018
100184,Volvo,Automat,V40,219000,Diesel,4 353,149,Halvkombi,,2018
100185,Volvo,Automat,V40,219000,Diesel,5 093,149,Halvkombi,,2018
100186,Volvo,Automat,V60,379000,Miljöbränsle/Hybrid,1 003,163,Kombi,,2018
100187,Renault,Automat,KA,362375,Diesel,0,190,Yrkesfordon,,2018
100188,Kia,Manuell,CEED,189800,Bensin,100,119,Halvkombi,,2018
100189,Volvo,Manuell,V40,164500,Diesel,5 199,119,Halvkombi,,2016
100190,Volvo,Automat,V40,227900,Diesel,2 574,149,Halvkombi,,2017
100191,Volvo,Automat,S60,169800,Diesel,8 400,229,Sedan,,2012
100192,Volvo,Manuell,V60,266700,Diesel,2 638,190,Kombi,,2016
100193,Renault,Manuell,CAPTUR,124900,Bensin,3 625,89,Halvkombi,,2016
100194,Lexus,Automat,IS250,66000,Bensin,17 000 - 17 499,208,Sedan,Oxelösund,2006
100195,Volkswagen,Manuell,GOL,60000,Bensin,8 000 - 8 499,102,Sedan,Karlshamn,2007
100196,Nissan,Automat,NAVARA,88000,Diesel,20 000 - 20 499,171,Yrkesfordon,Essunga,2010
100197,BMW,Manuell,520,134900,Diesel,21 000,183,Sedan,,2013
100198,Volvo,Automat,XC60,294900,Diesel,3 799,190,Kombi,,2016
100199,Volkswagen,Automat,AMAROK,249000,Diesel,8 000 - 8 499,179,-,Sotenäs,2013
100200,Volvo,Automat,S60,259000,Diesel,3 119,149,Sedan,,2017
100201,Volvo,Automat,V70,23000,Diesel,40 000 - 44 999,163,Kombi,Finspång,2005
100202,Fiat,Manuell,SCUDO,45000,Diesel,23 500 - 23 999,119,Yrkesfordon,Rättvik,2007
100203,Hyundai,Manuell,GETZ,14000,Bensin,15 000 - 15 499,81,Småbil,Karlskrona,2003
100204,Volvo,Manuell,S40,18000,Bensin,12 500 - 12 999,163,Sedan,Uppsala,2001
100205,Volvo,Automat,V60,179900,Diesel,6 915,163,Kombi,,2013
100206,Renault,Manuell,KA,129901,Diesel,6 905,110,Yrkesfordon,,2016
100207,BMW,Manuell,318,29900,Bensin,19 402,142,Sedan,Örebro,2004
100208,Volvo,Manuell,V70,39900,Bensin,16 499,170,Kombi,Örebro,2004
100209,Volvo,Automat,V70,20000,Bensin,35 000 - 39 999,199,Kombi,Ljungby,2001
100210,Volvo,Manuell,V70,89000,Miljöbränsle/Hybrid,10 633,199,Kombi,,2009
100211,Renault,Manuell,MASTER,189900,Diesel,7 070,149,Yrkesfordon,,2016
100212,Mercedes-Benz,Automat,SL63,795000,Bensin,5 200,537,Cab,Säter,2013
100213,Volkswagen,Manuell,GOL,94900,Bensin,11 310,122,Halvkombi,Nässjö,2011
100214,Hyundai,Manuell,I40,109900,Diesel,6 900,115,Kombi,,2013
100215,Mitsubishi,Manuell,LANCER,14800,Bensin,19 000,97,Kombi,Burlöv,2004
100216,Volkswagen,Automat,TOUAREG,179900,Diesel,18 075,244,SUV,,2013
100217,Ford,Manuell,TRANSIT,49900,Diesel,10 393,89,Yrkesfordon,,2012
100218,BMW,Automat,225,472700,Miljöbränsle/Hybrid,0,136,Kombi,Solna,2018
100219,BMW,Automat,X4,379000,Diesel,6 980,190,SUV,Halmstad,2016
100220,Ford,Automat,F150,736250,Bensin,0,401,Yrkesfordon,,2018
100221,Ford,Manuell,KUGA,199900,Bensin,1,149,SUV,,2018
100222,Renault,Manuell,TRAFIC,179900,Diesel,6 934,125,Familjebuss,,2016
100223,Ford,Automat,MONDEO,359900,Diesel,1,179,Kombi,,2018
100224,Renault,Manuell,MEGANE,79900,Diesel,4 925,95,Familjebuss,,2012
100225,Mercedes-Benz,Automat,E200,377500,Diesel,1,149,Kombi,,2019
100226,Mercedes-Benz,Automat,C200,399900,Bensin,1,183,Kombi,,2019
100227,Renault,Manuell,KA,29900,Diesel,15 920,85,Yrkesfordon,,2008
100228,BMW,Manuell,325,159900,Diesel,15 635,204,Kombi,,2011
100229,BMW,Automat,225,429900,Miljöbränsle/Hybrid,0,136,Kombi,Solna,2019
100230,Nissan,Manuell,NV300,299875,Diesel,1,125,Familjebuss,,2018
100231,Honda,Manuell,JAZZ,114900,Bensin,4 740,102,Halvkombi,Nässjö,2016
100232,Volkswagen,Automat,PASSAT,385800,Diesel,0,190,Kombi,,2018
100233,Mitsubishi,Manuell,ASX,149000,Bensin,4 262,116,SUV,,2016
100234,Volvo,Manuell,V40,194000,Diesel,3 584,119,Halvkombi,Mölndal,2017
100235,Ford,Automat,RANGER,374875,Diesel,0,199,Yrkesfordon,,2017
100236,Mercedes-Benz,Automat,C250,529000,Diesel,500,204,SUV,,2019
100237,BMW,Automat,225,418700,Miljöbränsle/Hybrid,0,136,Kombi,Solna,2019
100238,Audi,Manuell,A6,64900,Diesel,18 993,140,Kombi,,2008
100239,Volkswagen,Manuell,TRANSPORTER,124900,Diesel,10 100,102,Yrkesfordon,,2012
100240,BMW,Automat,225,418700,Miljöbränsle/Hybrid,0,136,Kombi,Solna,2019
100242,Chevrolet,Manuell,CORVETTE,499900,Bensin,1 906,466,Coupé,Uppsala,2014
100243,Ford,Manuell,FOCUS,199900,Bensin,400,125,Halvkombi,,2019
100244,Alfa Romeo,Automat,GIULIETTA,139900,Diesel,6 552,170,Halvkombi,,2013
100245,BMW,Automat,520,514000,Diesel,0,190,Kombi,Solna,2019
100246,Mercedes-Benz,Automat,C220,318000,Diesel,2 500,170,Kombi,,2018
100247,Mercedes-Benz,Automat,E220,476650,Diesel,0,194,Kombi,,2018
100248,BMW,Automat,118,271900,Bensin,0,136,Kombi,Solna,2019
100249,Volvo,Manuell,XC60,219900,Diesel,9 800,180,SUV,Oskarshamn,2015
100250,Citroën,Manuell,Jump,262375,Diesel,1,115,Yrkesfordon,,2017
100251,Land Rover,Automat,EVOQUE,199000,Diesel,15 050,149,SUV,,2012
100252,Ford,Automat,RANGER,374875,Diesel,0,199,Yrkesfordon,,2017
100253,Volkswagen,Automat,TRANSPORTER,189000,Diesel,9 300,140,Yrkesfordon,,2015
100254,Nissan,Manuell,NV400,412375,Diesel,1,145,Yrkesfordon,,2018
100255,Citroën,Manuell,Jump,262375,Diesel,1,115,Yrkesfordon,,2017
100256,Citroën,Manuell,Berling,109000,Diesel,11 110,89,Yrkesfordon,,2013
100257,Citroën,Manuell,Jump,262375,Diesel,1,115,Yrkesfordon,,2017
100258,Mercedes-Benz,Automat,S350,139900,Bensin,11 646,272,Sedan,,2006
100259,Volkswagen,Manuell,PASSAT,59900,Bensin,8 000,199,Kombi,,2007
100260,Mazda,Manuell,5,292400,Bensin,0,183,Cab,,2019
100261,Mercedes-Benz,Automat,SPRINTER,360000,Diesel,250,163,Yrkesfordon,Alingsås,2017
100262,Mazda,Manuell,5,305900,Bensin,0,183,Cab,,2019
100263,BMW,Automat,X1,209000,Diesel,4 500,183,SUV,,2015
100264,Citroën,Automat,Berling,181125,Diesel,1,99,Yrkesfordon,,2017
100265,Volvo,Automat,V40,269900,Bensin,0,152,Halvkombi,,2019
100266,Volvo,Manuell,V40,269900,Diesel,14,149,Halvkombi,Norrköping,2019
100267,Volvo,Manuell,V40,264900,Bensin,1,152,Halvkombi,,2019
100268,Peugeot,Automat,EXPERT,349000,Diesel,150,176,Familjebuss,,2018
100269,Kia,Manuell,CEED,67500,Diesel,11 417,127,Kombi,,2012
100270,Nissan,Automat,QASHQAI,209900,Bensin,0,115,SUV,,2018
100271,Nissan,Automat,QASHQAI,209900,Bensin,0,115,SUV,,2018
100272,Nissan,Automat,QASHQAI,215800,Bensin,0,115,SUV,,2018
100273,Audi,Automat,A5,369900,Bensin,2 500,251,Coupé,,2017
100274,Audi,Automat,A5,369900,Bensin,2 500,251,Halvkombi,,2017
100275,Audi,Automat,Q7,720000,Diesel,1,272,SUV,,2018
100276,Volkswagen,Automat,TIGUAN,488600,Bensin,0,220,SUV,,2018
100277,Audi,Manuell,A3,199900,Diesel,718,115,Halvkombi,,2018
100278,Volkswagen,Automat,GOL,217600,Bensin,0,110,Halvkombi,,2018
100279,Volkswagen,Automat,GOL,223700,Bensin,0,110,Kombi,,2018
100280,Audi,Automat,A4,269900,Diesel,1 667,190,Kombi,,2017
100281,Volvo,Manuell,S60,229000,Diesel,4 200,190,Sedan,,2016
100282,Volkswagen,Automat,TIGUAN,484900,Bensin,0,220,SUV,,2018
100283,Volvo,Automat,V40,175000,Diesel,5 200,149,Halvkombi,,2013
100284,Audi,Manuell,A3,189900,Diesel,689,110,Halvkombi,,2017
100285,Skoda,Automat,Superb,343700,Bensin,0,179,Kombi,,2018
100286,Volkswagen,Manuell,GOL,189900,Bensin,0,110,Kombi,,2018
100287,Skoda,Manuell,Karoq,305200,Bensin,0,149,Kombi,,2018
100288,Audi,Automat,A6,330000,Diesel,500,190,Kombi,,2018
100289,Audi,Automat,A6,763500,Diesel,0,285,Sedan,,2019
100290,Audi,Automat,A5,379000,Bensin,2 760,251,Coupé,,2017
100291,Audi,Automat,Q5,448600,Diesel,0,190,Kombi,,2018
100292,Volkswagen,Manuell,PASSAT,285600,Bensin,0,149,Kombi,,2018
100293,Audi,Automat,A6,185000,Diesel,14 500,204,Kombi,,2014
100294,Audi,Automat,A6,379800,Bensin,0,190,Kombi,,2018
100295,Audi,Manuell,A4,179900,Diesel,8 500,149,Kombi,,2015
100296,Audi,Automat,A4,400000,Diesel,0,190,Kombi,,2018
100297,Audi,Automat,A6,526300,Diesel,0,217,Kombi,,2018
100298,Audi,Automat,A4,419700,Diesel,0,190,Kombi,,2018
100299,Skoda,Manuell,Octavia,179900,Diesel,2 444,110,Kombi,,2017
100300,Audi,Automat,A6,415600,Diesel,0,190,Kombi,,2018
100301,Skoda,Manuell,Fabia,169300,Bensin,0,95,Halvkombi,,2019
100302,Audi,Manuell,Q3,219900,Diesel,4 500,149,Kombi,,2016
100303,Audi,Automat,Q5,424900,Diesel,1 350,190,Kombi,,2017
100304,Audi,Manuell,A4,169000,Diesel,7 500,149,Kombi,,2015
100305,Volkswagen,Manuell,CADDY,181125,Bensin,0,84,Yrkesfordon,,2018
100306,Volkswagen,Automat,CC,229900,Bensin,2 100,280,Coupé,,2016
100307,Volkswagen,Manuell,GOL,229900,Bensin,0,149,Halvkombi,,2018
100308,Audi,Manuell,A3,271100,Bensin,0,149,Halvkombi,,2018
100309,Volkswagen,Automat,ARTEON,391600,Diesel,0,190,Halvkombi,,2018
100310,Audi,Manuell,A3,271100,Bensin,0,149,Halvkombi,,2018
100311,Audi,Manuell,A3,196000,Diesel,6 500,149,Sedan,,2014
100312,Skoda,Automat,Octavia,214800,Bensin,0,115,Kombi,,2018
100313,Audi,Automat,A5,469000,Diesel,1,217,Coupé,,2017
100314,Volkswagen,Manuell,GOL,219000,Bensin,560,149,Kombi,,2018
100315,Audi,Automat,A6,409000,Diesel,1 200,217,Kombi,,2017
100316,Skoda,Automat,Octavia,221900,Bensin,0,115,Kombi,,2018
100317,Volvo,Manuell,V40,159900,Diesel,7 600,176,Halvkombi,,2013
100318,Audi,Manuell,A3,266100,Bensin,0,149,Halvkombi,,2018
100319,Audi,Manuell,A3,273900,Bensin,0,149,Halvkombi,,2018
100320,Mercedes-Benz,Automat,C200,4059,Diesel,0,149,Kombi,,2019
100321,Citroën,Automat,C4,289000,Diesel,600,119,Kombi,,2017
100322,Skoda,Automat,Superb,269000,Diesel,2 100,190,Kombi,,2017
100323,Skoda,Manuell,Octavia,248500,Bensin,0,149,Kombi,,2018
100324,Volkswagen,Manuell,PASSAT,289900,Bensin,0,149,Kombi,,2018
100325,Skoda,Automat,Fabia,203100,Bensin,0,110,Kombi,,2019
100326,Mitsubishi,Automat,GRANDIS,65000,Bensin,16 950,164,Kombi,,2010
100327,Mercedes-Benz,Automat,E200,359000,Diesel,10,149,Sedan,,2018
100328,Honda,Automat,CIVIC,244800,Diesel,0,119,Halvkombi,,2018
100329,BMW,Automat,520,513800,Diesel,0,190,Kombi,Solna,2019
100330,Skoda,Manuell,Fabia,29900,Bensin,10 000,63,Halvkombi,,2005
100331,Mercedes-Benz,Automat,E350,629900,Diesel,1 300,258,SUV,,2017
100332,Mercedes-Benz,Automat,C180,138500,Bensin,8 300,156,Kombi,,2010
100333,Kia,Automat,STONIC,203900,Bensin,0,119,SUV,Oskarshamn,2019
100334,Opel,Manuell,Movano,175000,Diesel,10 979,125,Familjebuss,Kristianstad,2015
100335,BMW,Automat,118,254500,Diesel,1 500,149,Halvkombi,,2018
100336,Mercedes-Benz,Automat,A45,389900,Bensin,4 500,360,Sedan,,2014
100337,Toyota,Manuell,YARIS,79000,Bensin,7 800,69,Sedan,,2012
100338,Peugeot,Automat,EXPERT,309900,Diesel,3 100,176,Sedan,,2017
100339,Mazda,Manuell,5,182500,Bensin,1 609,130,Cab,,2016
100340,Nissan,Automat,NAVARA,349875,Diesel,0,190,Yrkesfordon,,2018
100341,Mitsubishi,Automat,L200,184900,Diesel,11 100,178,Yrkesfordon,,2014
100342,Nissan,Automat,NAVARA,393750,Diesel,0,190,Yrkesfordon,,2018
100343,BMW,Automat,520,528000,Diesel,0,190,Kombi,Solna,2019
100344,Skoda,Automat,Fabia,198000,Bensin,0,110,Kombi,,2019
100345,BMW,Automat,320,448000,Diesel,0,190,Halvkombi,Skellefteå,2019
100346,Kia,Automat,NIRO,238800,Bensin,0,104,SUV,,2018
100347,Audi,Automat,A6,530000,Diesel,0,217,Kombi,Borås,2018
100348,Audi,Automat,Q2,303900,Bensin,0,115,Kombi,Borås,2018
100349,Volkswagen,Manuell,CRAFTER,217900,Diesel,12 200,163,Yrkesfordon,Borås,2016
100350,Audi,Automat,A6,520000,Diesel,0,217,Kombi,Borås,2018
100351,Volkswagen,Manuell,GOL,134900,Bensin,5 910,125,Kombi,,2015
100352,Mercedes-Benz,Automat,CLA220,279000,Diesel,1 800,176,Coupé,,2016
100353,Citroën,Manuell,Jump,287375,Diesel,1,149,Yrkesfordon,,2017
100354,Volkswagen,Manuell,GOL,219000,Bensin,700,149,Kombi,,2017
100355,Skoda,Automat,Superb,332600,Bensin,0,179,Kombi,,2018
100356,Volkswagen,Automat,CC,149000,Diesel,5 500,170,Sedan,,2013
100357,Audi,Automat,Q5,225000,Diesel,13 500,258,Kombi,,2015
100358,Ford,Manuell,FIESTA,34900,Bensin,3 300,80,Halvkombi,,2003
100359,Porsche,Automat,CAYENNE,349000,Diesel,16 500,382,SUV,Tyresö,2014
100360,Peugeot,Automat,EXPERT,309900,Diesel,5 530,176,Familjebuss,Kungsbacka,2017
100361,Volkswagen,Manuell,GOL,210600,Bensin,0,110,Kombi,Borås,2018
100362,Volkswagen,Manuell,CADDY,114900,Miljöbränsle/Hybrid,1 220,108,Yrkesfordon,,2015
100363,Volvo,Automat,V60,528900,Bensin,0,310,Kombi,Håbo,2019
100364,Fiat,Manuell,SCUDO,109500,Diesel,11 801,127,Yrkesfordon,,2014
100365,Fiat,Manuell,SCUDO,109500,Diesel,11 067,127,Yrkesfordon,,2014
100366,BMW,Manuell,330,99000,Diesel,24 400,231,Kombi,,2008
100367,Kia,Manuell,CEED,185400,Bensin,0,119,Halvkombi,,2019
100368,Kia,Automat,OPTIMA,249900,Diesel,1 642,141,Kombi,,2017
100369,Kia,Automat,OPTIMA,249900,Diesel,2 254,141,Kombi,,2017
100370,Nissan,Manuell,NV200,123750,Diesel,1 580,89,Yrkesfordon,,2015
100371,Nissan,Manuell,QASHQAI,145000,Diesel,10 500,110,SUV,Bjuv,2015
100372,Mini,Manuell,COOPER,149900,Diesel,7 990,111,Kombi,,2014
100373,BMW,Automat,520,418900,Diesel,1 435,190,Kombi,,2018
100374,Volvo,Automat,V90,429000,Diesel,1 960,190,Kombi,,2018
100375,Renault,Automat,MEGANE,169900,Diesel,2 955,110,Kombi,,2017
100376,Dacia,Manuell,Duster,95000,Diesel,7 164,108,-,Markaryd,2014
100377,Renault,Manuell,MEGANE,149000,Bensin,2 543,131,Halvkombi,,2017
100378,Volvo,Automat,V90,497400,Diesel,0,190,Kombi,Kinda,2019
100379,Ford,Automat,S-MAX,229000,Diesel,10 998,179,Kombi,,2016
100380,Volvo,Automat,V90,359000,Diesel,270,149,Kombi,,2019
100381,Volvo,Automat,XC90,624400,Diesel,998,235,Kombi,,2018
100382,Subaru,Manuell,LEGACY,119000,Diesel,13 187,149,Kombi,,2013
100383,Volvo,Manuell,V60,154900,Diesel,8 487,119,Kombi,,2016
100384,Ford,Manuell,FOCUS,79000,Diesel,12 020,95,Kombi,,2012
100385,BMW,Automat,530,561000,Bensin,0,251,Sedan,Solna,2019
100386,Kia,Automat,OPTIMA,359000,Miljöbränsle/Hybrid,1 200,156,Kombi,,2018
100387,Mercedes-Benz,Automat,C220,580700,Diesel,1,170,SUV,,2019
100388,Volkswagen,Manuell,PICKUP,89000,Diesel,15 425,102,Yrkesfordon,,2009
100389,Mercedes-Benz,Manuell,VITO,89900,Diesel,13 111,95,Yrkesfordon,,2013
100390,Audi,Manuell,S5,189000,Bensin,12 100,353,Coupé,,2009
100391,Mercedes-Benz,Automat,C350,464900,Diesel,5 590,258,SUV,Alingsås,2017
100392,Volvo,Automat,XC40,457600,Diesel,1,190,Sedan,,2018
100393,Volvo,Automat,V60,594740,Bensin,1,310,Kombi,,2019
100394,Volvo,Automat,V90,443500,Diesel,1,190,Kombi,,2018
100395,Volvo,Automat,V40,293400,Bensin,1,152,Halvkombi,,2018
100396,Peugeot,Manuell,308,172800,Bensin,1,110,Halvkombi,,2018
100397,Volvo,Automat,V90,462500,Bensin,1,190,Kombi,,2018
100398,Ford,Manuell,TRANSIT,187500,Diesel,14 900,155,Yrkesfordon,Bjuv,2013
100399,Mercedes-Benz,Automat,E200,369900,Diesel,1,149,Kombi,,2019
100400,Kia,Manuell,CARENS,104900,Diesel,11 700,115,Familjebuss,,2014
100401,Mercedes-Benz,Manuell,C200,229900,Bensin,5 800,183,Sedan,,2015
100402,BMW,Automat,650,159900,Bensin,14 400,367,Coupé,,2006
100403,Land Rover,Automat,DISCOVERY,209000,Diesel,17 000,244,SUV,,2011
100404,Volvo,Manuell,C30,46999,Diesel,17 700,108,Coupé,"Göteborg, Östra Göteborg",2010
100405,Kia,Manuell,CARENS,209700,Diesel,0,115,Kombi,,2017
100406,Mercedes-Benz,Automat,C180,25900,Bensin,13 100,129,Sedan,Uppsala,2001
100407,Mini,Manuell,COOPER,198000,Bensin,0,136,Halvkombi,,2018
100408,Nissan,Manuell,JUKE,139900,Bensin,7 184,199,SUV,,2013
100409,Fiat,Manuell,TIPO,159900,Bensin,200,119,Kombi,Jönköping,2018
100410,Volkswagen,Automat,PASSAT,239000,Diesel,4 600,239,Sedan,,2015
100411,Kia,Automat,SPORTAGE,329800,Bensin,0,176,SUV,,2018
100412,Mercedes-Benz,Automat,C300,569900,Bensin,2,258,Coupé,,2019
100413,Volvo,Manuell,V60,119900,Diesel,10 600,114,Kombi,,2012
100414,SEAT,Manuell,ARONA,217500,Diesel,1,95,-,Jönköping,2018
100415,Volvo,Manuell,S60,36900,Bensin,21 700,209,Sedan,,2004
100416,Chrysler,Automat,300,119900,Bensin,10 055,340,Sedan,,2005
100417,Mercedes-Benz,Automat,A200,310500,Bensin,1,163,Halvkombi,,2018
100418,Mini,Manuell,COOPER,278700,Bensin,141,191,Kombi,,2018
100419,Lexus,Automat,IS300,309000,Miljöbränsle/Hybrid,3 228,180,Sedan,,2017
100420,Mercedes-Benz,Automat,R320,89000,Diesel,17 000,224,Kombi,,2008
100421,Opel,Automat,Grandland X,265500,Bensin,0,130,-,,2018
100422,Mini,Manuell,COOPER,198000,Bensin,0,136,Halvkombi,,2018
100423,Toyota,Automat,C-HR,219900,Bensin,1 150,115,Halvkombi,,2017
100424,Renault,Manuell,MASTER,312375,Diesel,1,145,Yrkesfordon,,2018
100425,Dacia,Manuell,Sandero,79000,Diesel,4 233,89,Halvkombi,,2016
100426,Peugeot,Manuell,206,13900,Bensin,19 000,108,Halvkombi,Nyköping,2004
100427,Renault,Manuell,MASTER,312375,Diesel,1,145,Yrkesfordon,,2018
100428,Fiat,Manuell,DOBL,149875,Diesel,1,104,Yrkesfordon,,2018
100429,Toyota,Manuell,RAV4,57000,Bensin,17 500,152,SUV,Kristianstad,2006
100430,Audi,Manuell,A4,112000,Diesel,14 520,170,Kombi,Falkenberg,2011
100431,Chevrolet,Automat,CAMARO,489900,Bensin,1,452,Cab,Kista-Hässelby-Vällingby-Spånga,2018
100432,Mercedes-Benz,Automat,CLA220,239000,Diesel,3 717,176,Kombi,,2016
100433,BMW,Automat,740,1009500,Diesel,1 500,319,Sedan,,2018
100434,Renault,Manuell,TRAFIC,82000,Diesel,14 600,114,Yrkesfordon,,2013
100435,BMW,Automat,530,599000,Diesel,800,265,Kombi,,2018
100436,Volkswagen,Automat,GOL,315800,Diesel,0,183,Kombi,,2018
100437,Audi,Manuell,A3,209000,Bensin,1 930,115,Halvkombi,,2017
100438,Volkswagen,Automat,KOMBI,148000,Diesel,27 170,179,Yrkesfordon,,2013
100439,Mini,Automat,COOPER,227000,Bensin,0,136,Kombi,,2018
100440,Ford,Manuell,TRANSIT,202500,Diesel,0,100,Yrkesfordon,,2018
100441,Volvo,Manuell,V50,72900,Diesel,14 200,114,Kombi,,2011
100442,Audi,Automat,R8,689000,Bensin,5 193,524,Coupé,,2012
100443,Peugeot,Automat,3008,291600,Bensin,0,164,SUV,,2018
100444,Kia,Automat,SORENTO,149900,Diesel,15 400,197,SUV,,2012
100445,Mazda,Automat,6,199500,Diesel,12 225,175,Kombi,,2017
100446,Porsche,Manuell,CAYMAN,539000,Bensin,785,299,Coupé,,2018
100447,Volvo,Automat,V90,478900,Diesel,500,190,Kombi,,2019
100448,Volvo,Manuell,C70,239900,Diesel,5 800,180,Kombi,Oskarshamn,2015
100449,Ford,Automat,GALAXY,259000,Diesel,4 694,149,Familjebuss,Uppsala,2017
100450,Mini,Manuell,COOPER,202300,Bensin,500,136,Kombi,,2018
100451,Jeep,Automat,RENEGADE,274900,Bensin,1,170,SUV,,2018
100452,Opel,Automat,Insignia,257400,Diesel,0,136,Kombi,,2018
100453,Mercedes-Benz,Automat,C220,468450,Diesel,0,194,Sedan,,2019
100454,BMW,Automat,750,229900,Bensin,9 898,406,Sedan,,2012
100455,Mercedes-Benz,Manuell,B180,129900,Diesel,8 650,108,Halvkombi,,2014
100456,BMW,Automat,330,379000,Bensin,444,251,Sedan,,2018
100457,Suzuki,Manuell,SWIFT,102900,Bensin,5 260,136,Halvkombi,,2012
100458,Volkswagen,Manuell,PASSAT,37000,Bensin,21 800,149,Kombi,,2006
100459,Citroën,Manuell,Jump,305000,Diesel,1,122,Yrkesfordon,,2017
100460,Mercedes-Benz,Automat,A180,249000,Bensin,900,122,Halvkombi,,2018
100461,Kia,Manuell,STONIC,193800,Bensin,0,119,Kombi,,2018
100462,Volvo,Manuell,C70,159500,Diesel,17 800,180,Kombi,"Göteborg, Hisingen",2014
100463,Mercedes-Benz,Automat,C200,345800,Diesel,1,149,Kombi,Jönköping,2019
100464,Peugeot,Manuell,508,159000,Diesel,6 900,163,Kombi,,2015
100465,Peugeot,Automat,5008,283700,Bensin,0,130,Kombi,,2018
100466,Mercedes-Benz,Automat,C400,700050,Bensin,0,333,Cab,"Göteborg, Västra Göteborg",2019
100467,Kia,Automat,STONIC,212800,Bensin,0,119,Kombi,,2018
100468,BMW,Automat,I8,899000,Miljöbränsle/Hybrid,670,231,Coupé,,2017
100469,Peugeot,Manuell,PARTNER,149000,Diesel,6 630,89,-,Borlänge,2015
100470,Volkswagen,Manuell,CABRIO,29900,Diesel,8 979,89,Cab,,2000
100471,Skoda,Automat,Karoq,289000,Diesel,500,149,SUV,,2018
100472,BMW,Automat,420,369000,Bensin,2 568,183,Cab,,2015
100473,Volvo,Automat,S90,399000,Diesel,1 700,190,Sedan,Mölndal,2018
100474,Mercedes-Benz,Automat,B200,249000,Diesel,2 100,136,Halvkombi,,2017
100475,Volkswagen,Manuell,CADDY,79000,Diesel,10 200,102,Yrkesfordon,Hallsberg,2012
100476,Peugeot,Manuell,308,64000,Diesel,12 100,114,Kombi,,2013
100477,Volkswagen,Manuell,BORA,12900,Bensin,20 325,104,Sedan,,2002
100478,Mercedes-Benz,Automat,C220,454900,Diesel,0,194,Kombi,"Göteborg, Västra Göteborg",2019
100479,Honda,Automat,CIVIC,279900,Bensin,0,182,Halvkombi,,2018
100480,BMW,Automat,420,530000,Bensin,1 500,183,Cab,,2018
100481,Peugeot,Manuell,208,129800,Bensin,0,82,Halvkombi,,2018
